Hangul,Meaning,Speech Part,Classification,Notes,Pronunciation,Unit.Lesson
한국,Korea,noun,places,,hangug,1.1
도시,city,noun,places,,doshi,1.1
이름,name,noun,conversation,,irum,1.1
저,"I, me (formal)",noun,people,,jeo,1.1
나,"I, me (informal)",noun,people,,na,1.1
남자,man,noun,people,,damja,1.1
여자,woman,noun,people,,yeoja,1.1
이,this,determiner,grammar,,i,1.1
그,that,determiner,grammar,,geu,1.1
저,that (over there),determiner,grammar,,jeo,1.1
것,thing,noun,grammar,,geot,1.1
이것,this (thing),noun,grammar,,igeot,1.1
그것,that (thing),noun,grammar,,geugeot,1.1
저것,that (thing over there),noun,grammar,,jeogeot,1.1
의자,chair,noun,objects,,uja,1.1
