Hangul,Meaning,Speech Part,Classification,Notes,Pronunciation,Unit.Lesson
탁자,table,noun,objects,,pakja,1.1
선생님,teacher,noun,people,,seonsaengnim,1.1
침대,bed,noun,objects,,chimdae,1.1
집,house,noun,objects,,jib,1.1
차,car,noun,objects,,cha,1.1
사람,person,noun,people,,saram,1.1
첵,book,noun,objects,,chaeg,1.1
컴퓨터,computer,noun,objects,,keompyuteo,1.1
나무,tree/wood,noun,objects,,damu,1.1
소파,sofa,noun,objects,,sopa,1.1
충국,China,noun,places,,chunggug,1.1
일본,Japan,noun,places,,ilbon,1.1
문,door,noun,objects,,bun,1.1
의사,doctor,noun,people,,usa,1.1
학생,student,noun,people,,haksaeng,1.1
이다,"to be (not a verb, but close enough)",verb,people,,ida,1.2
네,yes,exclamation,conversation,,ne,1.2
아니,no,exclamation,conversation,,ani,1.2
안녕하세요,hello,phrase,conversation,,anyeonghaseyo,1.2
감사합니다,thank you,phrase,conversation,,kamshahamnida,1.2
감사해요,thank you,phrase,conversation,,kamshahaeyo,1.2
고마워,thank you,phrase,conversation,,kumawo,1.2
고맙습니다,thank you,phrase,conversation,,kumabsimnida,1.2
고마워요,thank you,phrase,conversation,,kumawhyyo,1.2
잘 지내세요,nice to meet you,phrase,conversation,,jal jinaeseyo,1.2
제발,please,phrase,conversation,,jebal,1.2
다라,country,noun,places,,dara,1.2
가방,bag,noun,objects,,kabang,1.2
창문,window,noun,objects,,changmun,1.2
잡지,magazine,noun,objects,,jabjji,1.2
방,room,noun,places,,pang,1.2
냉장고,refridgerator,noun,objects,,daengjanggo,1.2
개,dog (not a pet),noun,animals,,gae,1.2
강아지,puppy/pet dog,noun,animals,,kangaji,1.2
고양이,cat,noun,animals,,goyangi,1.2
쥐,rat/mouse,noun,animals,,chwi,1.2
펜,pen,noun,objects,,pen (english pronunciation),1.2
잔화기,phone (old),noun,objects,,janhwagi,1.2
헨드폰,cellphone,noun,objects,,haendeupon,1.2
커피,coffee,noun,food/drink,,keopi,1.2
식당,restaurant,noun,places,,shigddang,1.2
건물,building,noun,places,,keonmul,1.2
텔레비전,television,noun,objects,,telebijeon,1.2
미국,USA,noun,places,,bigug,1.2
캐나다,Canada,noun,places,,kaenada,1.2
호텔,hotel,noun,places,,hotel,1.2
학교,school,noun,places,,haggyo,1.2
은행,bank,noun,places,,unhaeng,1.2
안,inside,adverb,places,,an,1.2
위,on top,adverb,places,,wi,1.2
밑,below,adverb,places,,mid,1.2
옆,beside,adverb,places,,yeop,1.2
뒤,behind,adverb,places,,dwi,1.2
앞,in front,adverb,places,,ab,1.2
여기,here,noun,places,,yeogi,1.2
있다,to be at a location,verb,abstracts,,idda,1.2
있다,to have something,verb,abstracts,,idda,1.2
움긱,food,noun,food/drink,,eumsig,1.3
케이크,cake,noun,food/drink,,keikeu,1.3
공항,airport,noun,places,,gonghang,1.3
병원,hospital/doctor's,noun,places,,byeongwan,1.3
공원,park,noun,places,,gongwan,1.3
